ANO,MES,RADIACAO_media_mensal,TEMPERATURA_media_mensal,PRECIPITACAO_mm_mensal_soma,UMIDADE_media_mensal,VENTO_VEL_media_mensal,NDVI_satveg_mensal,Produtividade_Anual
2013,3,377.2873563218391,25.69880418535127,47.4,78.74140508221225,1.750523168908819,0.3846,6.2
2013,4,332.2759952465835,24.694524495677232,130.6,77.44380403458213,2.1697406340057634,0.46565,6.2
2013,5,383.5965711805556,25.790188172043013,46.0,69.81048387096774,1.9327956989247312,0.51735,6.2
2013,6,371.4336219336219,26.037806873977086,22.999999999999996,64.73322422258593,1.8847790507364974,0.26985,6.2
2013,7,395.57419786096256,25.189771197846568,6.0,53.37550471063257,2.4524899057873486,0.2212,6.2
2013,9,433.4371527777777,28.090476190476192,2.0,50.244897959183675,1.9462585034013606,0.2122,6.2
2013,10,376.2525745257453,25.9627688172043,260.8,73.28360215053763,1.7891129032258064,0.3432,6.2
2013,11,362.84584393553854,25.12847222222222,134.0,78.86111111111111,1.645138888888889,0.5740999999999999,6.2
2013,12,333.82438125329116,24.77728494623656,137.0,82.57123655913979,1.6529569892473117,0.69295,6.2
2014,1,350.7348837209302,24.537042062415196,0.0,79.50881953867028,1.4242876526458617,0.5318499999999999,7.2
2014,2,326.22623213764945,24.779166666666665,91.4,79.83333333333333,1.3836309523809522,0.1604,7.2
2014,3,371.84911772814996,25.344354838709677,119.8,79.11827956989248,1.3280913978494624,0.62665,7.2
2014,4,390.2265400115141,25.893472222222222,60.800000000000004,77.00138888888888,0.8693055555555556,0.5164,7.2
2014,5,384.3513960852043,25.77258064516129,2.0,68.63844086021506,0.7788978494623656,0.4346,7.2
2014,6,397.63085399449034,25.49861111111111,17.0,62.13055555555555,1.9206944444444445,0.2135,7.2
2014,7,409.1205197132617,25.5119623655914,0.0,55.11290322580645,1.9108870967741935,0.26005,7.2
2014,8,432.6169744942832,27.28481182795699,7.4,45.373655913978496,0.5469086021505376,0.2271,7.2
2014,9,399.2758645124716,27.739444444444448,91.4,59.34305555555556,0.5425,0.2272,7.2
2014,10,412.23492257538715,27.80994623655914,0.0,61.276881720430104,0.6599462365591398,0.2103,7.2
2014,11,396.07296106848537,26.133194444444445,50.800000000000004,75.19722222222222,0.5370833333333334,0.39985,7.2
2014,12,346.1207058507783,25.0252688172043,358.0,80.89112903225806,0.0717741935483871,0.74725,7.2
2015,1,419.0123091100579,25.940217391304348,0.6000000000000001,73.92798913043478,0.096875,0.33875,6.4
2015,2,340.39466374269006,24.867113095238096,0.0,80.15029761904762,0.18824404761904762,0.4712,6.4
2015,3,355.0081217581218,25.04220430107527,0.0,80.99059139784946,0.11706989247311828,0.5255,6.4
2015,4,336.49754050925924,25.74138888888889,0.0,79.09166666666667,0.5606944444444444,0.4923999999999999,6.4
2015,5,368.3111979166667,25.70685483870968,0.0,73.78897849462365,0.17486559139784946,0.38985,6.4
2015,6,382.80555555555554,25.65263888888889,0.0,60.977777777777774,0.2598611111111111,0.2743,6.4
2015,7,401.38829311885615,25.725,0.0,55.42607526881721,0.2478494623655914,0.23085,6.4
2015,8,448.5689273049645,27.419489247311827,0.0,44.763440860215056,0.2810483870967742,0.2541,6.4
2015,9,421.9925077749505,29.206666666666667,0.0,50.55138888888889,0.19777777777777777,0.2244,6.4
2015,10,425.880787037037,28.3252688172043,0.0,61.884408602150536,0.4387096774193548,0.2896,6.4
2015,11,386.8840118744699,27.000833333333333,0.0,71.98194444444445,0.42138888888888887,0.56035,6.4
2015,12,416.5649470899471,26.942204301075268,0.0,72.62231182795699,0.6915322580645161,0.5873999999999999,6.4
2016,1,278.3088309397833,25.32157394843962,0.0,83.58480325644504,0.6952510176390773,0.484,7.8
2016,2,389.12204121414646,26.766330935251798,0.0,74.84748201438849,0.3454676258992806,0.3711,7.8
2016,3,333.44785694785696,26.079301075268816,0.0,79.79569892473118,0.21827956989247313,0.55585,7.8
2016,4,410.390350877193,26.72388888888889,0.0,70.39722222222223,0.5052777777777778,0.6373500000000001,7.8
2016,5,381.693642461359,26.706989247311828,0.0,65.36962365591398,0.12190860215053764,0.44865,7.8
2016,6,379.69266975308636,25.672638888888887,0.0,57.43194444444445,0.6886111111111112,0.32275,7.8
2016,7,425.9289544235925,26.25255376344086,0.0,43.458333333333336,0.5446236559139784,0.267,7.8
2016,8,407.1376396237507,26.90712365591398,33.800000000000004,49.56317204301075,0.8220430107526882,0.29235,7.8
2016,9,376.96745439469316,26.211805555555557,133.4,62.7,1.1104166666666666,0.3055,7.8
2016,10,394.91223041223043,26.428667563930013,150.8,70.12247644683714,0.5263795423956932,0.4402,7.8
2016,11,381.3149058149058,25.97236111111111,289.8,76.90833333333333,0.5405555555555556,0.6253,7.8
2016,12,332.34014550264544,24.7372311827957,382.8,81.77688172043011,0.3655913978494624,0.8525,7.8
2017,1,345.6446516446517,25.19118046132972,298.59999999999997,79.23880597014926,0.2811397557666214,0.6305,7.4
2017,2,311.5809399477807,24.772321428571427,330.4,82.00892857142857,0.26413690476190477,0.3078499999999999,7.4
2017,3,355.7628992628993,25.551478494623655,319.4,80.24193548387096,0.15456989247311828,0.42385,7.4
2017,4,370.0063553270494,26.144722222222224,99.2,77.24166666666666,0.24875,0.6043000000000001,7.4
2017,5,363.782848324515,26.63077956989247,25.8,70.76344086021506,0.25443548387096776,0.5205,7.4
2017,6,378.57021604938274,25.450972222222223,0.0,57.9875,0.5516666666666666,0.3081,7.4
2017,7,421.9906660692951,24.303091397849464,0.0,48.47043010752688,1.009274193548387,0.2664499999999999,7.4
2017,8,433.73721926713944,27.718413978494624,15.4,48.358870967741936,0.7419354838709677,0.27335,7.4
2017,9,395.2624399208368,28.533055555555556,80.2,44.894444444444446,0.9570833333333334,0.25825,7.4
2017,10,397.98726851851853,27.10833333333333,129.0,66.02688172043011,0.9516129032258065,0.2501,7.4
2017,11,373.52728675645346,25.732916666666668,368.6,78.94305555555556,0.8354166666666667,0.3167999999999999,7.4
2017,12,332.9379562043796,25.070698924731182,288.2,81.62768817204301,1.5408602150537636,0.53765,7.4
2018,1,357.45859293873315,25.192130257801896,398.0,79.07462686567165,1.4149253731343283,0.7382,7.1
2018,2,334.828354978355,25.19955357142857,315.0,81.75297619047619,1.584375,0.3659,7.1
2018,3,357.069100660066,25.68588709677419,419.4,79.99193548387096,1.3188172043010753,0.6265499999999999,7.1
2018,4,348.2587528935185,25.523333333333333,127.8,78.00972222222222,1.5725,0.73045,7.1
2018,5,375.19429824561405,25.643682795698926,104.2,67.29435483870968,1.9231182795698925,0.6112,7.1
2018,6,389.60439814814816,24.345833333333335,0.0,61.78194444444444,2.098611111111111,0.35365,7.1
2018,7,416.83378136200713,25.16922043010753,0.0,50.001344086021504,1.946236559139785,0.2961,7.1
2018,8,417.3154761904762,26.964381720430108,12.600000000000001,50.54704301075269,2.113306451612903,0.2708,7.1
2018,9,408.8059116809117,27.165277777777778,68.4,56.13611111111111,1.8934722222222222,0.27865,7.1
2018,10,378.3432875975249,26.845967741935485,179.6,72.49462365591398,1.7201612903225807,0.4723,7.1
2018,11,322.281136300028,25.424722222222222,350.4,81.46111111111111,1.4930555555555556,0.53305,7.1
2018,12,350.8581206804891,25.196908602150536,192.6,80.09274193548387,1.671236559139785,0.6432,7.1
2019,1,379.1663390985325,25.800949796472185,265.6,76.41519674355496,1.6962008141112617,0.4125,8.4
2019,2,374.2687355324074,25.710416666666667,409.4,79.38839285714286,1.728422619047619,0.2321,8.4
2019,3,360.54559620596206,25.700806451612905,322.8,80.27688172043011,1.6786290322580646,0.6943999999999999,8.4
2019,4,326.23903318903314,26.05083333333333,181.6,79.70416666666667,1.444027777777778,0.6256,8.4
2019,5,296.13327423167846,26.22,11.6,78.41081081081082,1.6827027027027028,0.45365,8.4
2019,7,406.0565476190476,27.69622641509434,0.8,40.56603773584906,1.330188679245283,0.29755,8.4
2019,8,420.35749113475174,27.228629032258063,0.0,44.208333333333336,2.300672043010753,0.2719,8.4
2019,9,389.59803094233473,29.21472222222222,34.8,48.50416666666667,1.8516666666666668,0.28385,8.4
2019,10,397.04399837794,26.66123822341857,191.2,70.61238223418573,1.753028263795424,0.3185,8.4
2019,11,403.680067001675,26.122361111111108,268.4,76.80833333333334,1.7774999999999999,0.57255,8.4
2019,12,383.3044121603444,25.74301075268817,442.40000000000003,80.19354838709677,0.844758064516129,0.68085,8.4
2020,1,353.94687660010237,25.986024423337856,201.0,79.39755766621438,0.1824966078697422,0.30685,8.4
2020,2,341.79596977329976,25.974999999999998,211.0,79.5603448275862,0.0,0.34,8.4
2020,3,359.6674897119342,25.968010752688173,133.4,80.26881720430107,0.0,0.64795,8.4
2020,4,350.28452685421996,26.02263888888889,208.79999999999998,77.73472222222222,0.0,0.63035,8.4
2020,5,380.91702835648147,24.815725806451614,35.2,70.21505376344086,0.0,0.55675,8.4
2020,6,402.2324074074074,25.949583333333333,0.0,59.456944444444446,0.0,0.354,8.4
2020,7,418.3644713261649,25.95282258064516,0.0,49.57392473118279,0.0,0.32705,8.4
2020,8,446.7693268665491,27.087365591397848,0.0,43.413978494623656,0.0,0.28895,8.4
2020,9,389.4043209876543,28.689473684210526,0.0,34.78947368421053,0.0,0.287,8.4
2022,10,372.2189218921892,25.597395833333334,65.2,78.265625,1.903125,0.5726,8.4
2022,11,436.7804573061808,25.776101694915255,109.2,68.88135593220339,2.1857627118644065,0.57425,8.4
2022,12,302.5739202657807,24.210252100840336,353.6,84.83025210084034,1.8842016806722688,0.69935,8.4
2023,1,329.33887584767865,24.332732316227464,352.2,82.68793342579751,1.8101248266296808,0.52395,8.3
2023,2,391.7391406987724,25.78252427184466,349.59999999999997,76.92880258899676,1.8336569579288027,0.3445,8.3
2023,3,338.0183833468505,25.011036339165546,291.8,80.88694481830417,1.8223418573351278,0.61215,8.3
2023,4,356.5241638321995,25.84958100558659,99.4,78.20670391061452,1.7399441340782122,0.7376,8.3
2023,5,377.3514365288772,26.385983827493263,0.2,65.38409703504043,2.0150943396226415,0.5474,8.3
2023,6,359.72534246575344,24.98375,76.2,59.354166666666664,2.350833333333333,0.36505,8.3
2023,7,409.59269242288104,26.185733512786,0.0,47.46971736204576,2.027994616419919,0.29705,8.3
2023,8,394.9300766283525,28.241756756756757,25.8,48.612162162162164,2.0632432432432433,0.30365,8.3
2023,9,405.46106848536516,29.326323119777157,44.0,55.17827298050139,1.9867688022284122,0.2829,8.3
2023,10,439.49986416734583,28.9140350877193,143.0,63.33468286099865,1.8919028340080972,0.3526,8.3
2023,11,432.4265620582414,27.830598052851183,104.2,68.83727399165508,1.9248956884561892,0.4842499999999999,8.3
2023,12,406.1713861920172,27.220405405405405,204.2,73.27837837837838,1.8402702702702702,0.5176,8.3
2024,1,359.46604230377164,26.204087193460488,540.6,79.26430517711172,1.9510899182561308,0.3172,8.3
2024,2,354.5660847880299,26.385611510791367,490.6,77.07913669064749,1.9656115107913668,0.36475,8.3
2024,3,346.0907362129856,26.594324324324322,397.8,79.66891891891892,1.682972972972973,0.5338,8.3
2024,4,327.4026722925457,26.9054469273743,195.6,78.94692737430168,1.7405027932960895,0.6329499999999999,8.3
2024,5,365.8837394836089,26.206216216216216,0.6000000000000001,66.27162162162162,2.308918918918919,0.5623,8.3
2024,6,351.4714484679666,26.536173184357544,0.0,50.57821229050279,2.2043296089385476,0.48915,8.3
2024,7,372.06176999101524,25.686792452830186,0.0,46.77897574123989,2.2579514824797844,0.34695,8.3
2024,8,401.88179824561405,27.421265141318976,0.0,39.14131897711979,2.411305518169583,0.27975,8.3
2024,9,365.0807626392459,29.801532033426184,23.4,40.8050139275766,2.1168523676880224,0.30035,8.3
2024,10,405.8221259625962,28.467571234735413,191.0,62.888738127544094,2.0449118046132972,0.3723999999999999,8.3
2024,11,336.6711560044893,25.699721059972106,359.6,79.66248256624826,1.9133891213389123,0.6875,8.3
2024,12,356.8260988260988,25.605570652173913,251.6,80.93885869565217,1.6935198821796762,0.5847,8.3
2025,1,311.7402454780362,25.098087431693987,330.8,82.9207650273224,1.5885039370078742,0.5945,
2025,2,345.6447721179625,25.527136431784104,307.2,79.17091454272864,1.8818590704647677,0.39225,
2025,3,363.7191590086327,25.82302452316076,205.6,78.64577656675749,1.7138964577656677,,
