Data;NDVI;PreFiltro;FlatBottom
26/06/2015;0,2419;0,2419;0,2419
12/07/2015;0,2061;0,2061;0,2419
28/07/2015;0,2556;0,2556;0,2556
13/08/2015;0,2315;0,2315;0,2556
29/08/2015;0,2767;0,2767;0,2767
14/09/2015;0,2593;0,2593;0,2593
30/09/2015;0,1895;0,1895;0,2593
16/10/2015;0,2896;0,2896;0,2896
01/11/2015;0,3234;0,3234;0,3234
17/11/2015;0,7973;0,7973;0,7973
03/12/2015;0,6255;0,6255;0,6255
19/12/2015;0,5493;0,5493;0,6232
01/01/2016;0,6232;0,6232;0,6232
17/01/2016;0,3448;0,3448;0,3448
02/02/2016;0,3143;0,3143;0,3448
18/02/2016;0,4279;0,4279;0,4279
05/03/2016;0,5988;0,5988;0,5988
21/03/2016;0,5129;0,5129;0,5988
06/04/2016;0,6197;0,6197;0,6197
22/04/2016;0,655;0,655;0,655
08/05/2016;0,4715;0,4715;0,4715
24/05/2016;0,4258;0,4258;0,4258
09/06/2016;0,3219;0,3219;0,3236
25/06/2016;0,3236;0,3236;0,3236
11/07/2016;0,2623;0,2623;0,2717
27/07/2016;0,2717;0,2717;0,2717
12/08/2016;0,2962;0,2962;0,2962
28/08/2016;0,2885;0,2885;0,2885
13/09/2016;0,2862;0,2862;0,2885
29/09/2016;0,3248;0,3248;0,3248
15/10/2016;0,3142;0,3142;0,3248
31/10/2016;0,5662;0,5662;0,5662
16/11/2016;0,6253;0,6253;0,6253
02/12/2016;0,8715;0,8715;0,8715
18/12/2016;0,8335;0,8335;0,8335
01/01/2017;0,8016;0,8016;0,8016
17/01/2017;0,4594;0,4594;0,4838
02/02/2017;0,3318;0,4838;0,4838
18/02/2017;0,2839;0,5082;0,5082
06/03/2017;0,2906;0,5327;0,5327
22/03/2017;0,5571;0,5571;0,5571
07/04/2017;0,6672;0,6672;0,6672
23/04/2017;0,5414;0,5414;0,5414
09/05/2017;0,5012;0,5012;0,5012
25/05/2017;0,5398;0,5398;0,5398
10/06/2017;0,3061;0,3061;0,3101
26/06/2017;0,3101;0,3101;0,3101
12/07/2017;0,251;0,251;0,2819
28/07/2017;0,2819;0,2819;0,2819
13/08/2017;0,2797;0,2797;0,2797
29/08/2017;0,267;0,267;0,267
14/09/2017;0,2539;0,2539;0,2539
30/09/2017;0,2626;0,2626;0,2626
16/10/2017;0,2501;0,2501;0,2501
01/11/2017;0,2665;0,2665;0,2665
17/11/2017;0,3671;0,394;0,394
03/12/2017;0,4262;0,5216;0,5216
19/12/2017;0,6491;0,6491;0,6491
01/01/2018;0,7503;0,7503;0,7503
17/01/2018;0,7261;0,7261;0,7261
02/02/2018;0,4243;0,5168;0,5168
18/02/2018;0,3075;0,3075;0,5168
06/03/2018;0,5839;0,5839;0,5839
22/03/2018;0,6692;0,6692;0,6692
07/04/2018;0,7477;0,7477;0,7477
23/04/2018;0,7132;0,7132;0,7132
09/05/2018;0,6826;0,6826;0,6826
25/05/2018;0,5398;0,5398;0,5398
10/06/2018;0,3559;0,3559;0,3559
26/06/2018;0,3514;0,3514;0,3514
12/07/2018;0,3192;0,3192;0,3192
28/07/2018;0,273;0,273;0,2967
13/08/2018;0,2967;0,2967;0,2967
29/08/2018;0,2449;0,2449;0,2828
14/09/2018;0,2828;0,2828;0,2828
30/09/2018;0,2745;0,2745;0,2828
16/10/2018;0,4723;0,4061;0,4061
01/11/2018;0,5376;0,5376;0,5376
17/11/2018;0,5285;0,5285;0,5376
03/12/2018;0,6213;0,6213;0,6213
19/12/2018;0,6651;0,6651;0,6651
01/01/2019;0,5396;0,5396;0,5396
17/01/2019;0,2854;0,4552;0,4552
02/02/2019;0,3708;0,3708;0,4552
18/02/2019;0,0934;0,5208;0,5208
06/03/2019;0,6708;0,6708;0,6708
22/03/2019;0,718;0,718;0,718
07/04/2019;0,6236;0,6236;0,6276
23/04/2019;0,6276;0,6276;0,6276
09/05/2019;0,5256;0,5256;0,5256
25/05/2019;0,3817;0,3817;0,3817
10/06/2019;0,3503;0,3503;0,3503
26/06/2019;0,3158;0,3158;0,3158
12/07/2019;0,2862;0,2862;0,2862
28/07/2019;0,3089;0,3089;0,3089
13/08/2019;0,2617;0,2617;0,2821
29/08/2019;0,2821;0,2821;0,2821
14/09/2019;0,2444;0,2444;0,2821
30/09/2019;0,3233;0,3233;0,3233
16/10/2019;0,3185;0,3185;0,3233
01/11/2019;0,5727;0,5727;0,5727
17/11/2019;0,5724;0,5724;0,5727
03/12/2019;0,6527;0,6527;0,6527
19/12/2019;0,709;0,709;0,709
01/01/2020;0,4021;0,4021;0,4656
17/01/2020;0,2116;0,4656;0,4656
02/02/2020;0,2392;0,5291;0,5291
18/02/2020;0,4408;0,5925;0,5925
05/03/2020;0,5764;0,656;0,656
21/03/2020;0,7195;0,7195;0,7195
06/04/2020;0,608;0,608;0,6527
22/04/2020;0,6527;0,6527;0,6527
08/05/2020;0,6283;0,6283;0,6283
24/05/2020;0,4852;0,4852;0,4852
09/06/2020;0,3503;0,3503;0,3577
25/06/2020;0,3577;0,3577;0,3577
11/07/2020;0,322;0,322;0,322
27/07/2020;0,3321;0,3321;0,3321
12/08/2020;0,2869;0,2869;0,291
28/08/2020;0,291;0,291;0,291
13/09/2020;0,2797;0,2797;0,2797
29/09/2020;0,2943;0,2943;0,2943
15/10/2020;0,3053;0,3053;0,3053
31/10/2020;0,3971;0,3971;0,3971
16/11/2020;0,5396;0,5396;0,5396
02/12/2020;0,5931;0,5931;0,5931
18/12/2020;0,5111;0,6453;0,6453
01/01/2021;0,7583;0,6975;0,6975
17/01/2021;0,7497;0,7497;0,7497
02/02/2021;0,4462;0,4462;0,4969
18/02/2021;0,1586;0,4969;0,4969
06/03/2021;0,3712;0,5477;0,5477
22/03/2021;0,5984;0,5984;0,5984
07/04/2021;0,6157;0,6157;0,6157
23/04/2021;0,6653;0,6653;0,6653
09/05/2021;0,5675;0,5675;0,6302
25/05/2021;0,6302;0,6302;0,6302
10/06/2021;0,4792;0,4792;0,4792
26/06/2021;0,3304;0,3304;0,3342
12/07/2021;0,3342;0,3342;0,3342
28/07/2021;0,2996;0,2996;0,2996
13/08/2021;0,2931;0,2931;0,2931
29/08/2021;0,2793;0,2793;0,2793
14/09/2021;0,2936;0,2936;0,2936
30/09/2021;0,2993;0,2993;0,2993
16/10/2021;0,3138;0,3138;0,3138
01/11/2021;0,2718;0,5091;0,5091
17/11/2021;0,7043;0,7043;0,7043
03/12/2021;0,81;0,81;0,81
19/12/2021;0,6422;0,5845;0,5845
01/01/2022;0,359;0,359;0,4162
17/01/2022;0,3716;0,4162;0,4162
02/02/2022;0,2983;0,4734;0,4734
18/02/2022;0,5306;0,5306;0,5306
06/03/2022;0,6523;0,6523;0,6523
22/03/2022;0,7149;0,6818;0,6818
07/04/2022;0,7113;0,7113;0,7113
23/04/2022;0,5876;0,5876;0,5899
09/05/2022;0,5899;0,5899;0,5899
25/05/2022;0,5067;0,5067;0,5067
10/06/2022;0,3276;0,3276;0,39
26/06/2022;0,39;0,39;0,39
12/07/2022;0,3249;0,3249;0,3249
28/07/2022;0,3166;0,3166;0,3166
13/08/2022;0,3275;0,3275;0,3275
29/08/2022;0,2652;0,2652;0,3275
14/09/2022;0,3445;0,3445;0,3445
30/09/2022;0,3099;0,3099;0,3445
16/10/2022;0,5726;0,3956;0,3956
01/11/2022;0,4812;0,4812;0,4812
17/11/2022;0,6673;0,6673;0,6673
